ID_xml,ID_rec
051_2025-03-18_13-31-00,0.0
051_2025-03-18_14-32-00,0.0
077_2025-03-18_13-13-25,0.0
077_2025-03-18_13-20-05,0.0
077_2025-03-18_13-44-07,0.0
221_2025-03-12_10-01-59,10030.0
221_2025-03-12_10-09-59,10030.0
221_2025-03-12_13-00-00,10030.0
221_2025-03-12_13-06-00,10030.0
221_2025-03-12_13-17-00,10030.0
221_2025-03-12_13-44-00,10030.0
282_2025-03-11_12-50-20,10040.0
282_2025-03-11_12-53-20,10040.0
282_2025-03-11_13-00-00,10040.0
282_2025-03-11_13-06-00,10040.0
282_2025-03-11_13-17-00,10040.0
282_2025-03-11_13-44-00,10040.0
051_2025-03-11_11-09-40,10050.0
051_2025-03-11_11-17-40,10050.0
051_2025-03-11_13-00-00,10050.0
051_2025-03-11_13-06-00,10050.0
051_2025-03-11_13-17-00,10050.0
051_2025-03-11_13-44-00,10050.0
282_2025-03-08_11-17-24,10060.0
282_2025-03-08_11-25-24,10060.0
282_2025-03-08_13-00-00,10060.0
282_2025-03-08_13-06-00,10060.0
282_2025-03-08_13-17-00,10060.0
282_2025-03-08_13-44-00,10060.0
051_2025-03-01_09-59-12,10070.0
051_2025-03-01_10-02-12,10070.0
282_2025-03-01_11-37-16,10080.0
282_2025-03-01_11-40-16,10080.0
282_2025-03-01_13-00-00,10080.0
282_2025-03-01_13-06-00,10080.0
282_2025-03-01_13-17-00,10080.0
282_2025-03-01_13-44-00,10080.0
282_2025-03-18_12-33-38,10200.0
282_2025-03-18_12-36-38,10200.0
282_2025-03-18_13-00-00,10200.0
282_2025-03-18_13-31-00,10200.0
282_2025-03-18_14-32-00,10200.0
051_2025-03-18_10-56-28,10210.0
051_2025-03-18_11-01-28,10210.0
051_2025-03-18_11-21-34,10210.0
051_2025-03-18_11-25-34,10210.0
051_2025-03-18_13-00-00,10210.0
282_2025-03-22_12-22-12,10220.0
282_2025-03-22_12-25-12,10220.0
051_2025-03-22_10-45-24,10230.0
051_2025-03-22_10-49-24,10230.0
077_2025-03-21_10-41-30,10240.0
077_2025-03-21_10-47-30,10240.0
077_2025-03-21_13-00-00,10240.0
077_2025-03-21_13-31-00,10240.0
077_2025-03-21_14-32-00,10240.0
077_2025-03-12_11-50-45,11040.0
077_2025-03-12_11-53-45,11040.0
