ID_rec	ID_site	ID_xml	rec_fl_adu	rec_fl_joblist	rec_fl_note	rec_fl_operator	rec_fl_rec_start	rec_fl_remote_reference	rec_qc_date	rec_qc_exception	rec_qc_note	rec_qc_nsp	rec_qc_qcby	rec_qc_status	rec_x	rec_y
1010	101	221_2024-11-15_07-13-48, 221_2024-11-15_07-17-28, 221_2024-11-15_07-21-08, 221_2024-11-15_07-25-00, 221_2024-11-15_07-34-32, 221_2024-11-15_07-44-04, 221_2024-11-15_07-49-20, 221_2024-11-15_07-54-36, 221_2024-11-15_07-59-52, 221_2024-11-15_08-05-08	221			Mostafa	2024-11-15 07:13:00	0.0						Measured	20.44215	49.006445
1020	102	221_2024-11-15_08-39-04, 221_2024-11-15_08-44-20, 221_2024-11-15_08-49-36, 221_2024-11-15_08-54-52, 221_2024-11-15_09-00-08, 221_2024-11-15_09-03-48, 221_2024-11-15_09-07-28, 221_2024-11-15_09-11-08, 221_2024-11-15_09-15-00, 221_2024-11-15_09-24-32	221			Vincent	2024-11-15 08:39:00	0.0						Measured	20.443453	49.006234
1030	103	221_2024-11-15_10-02-28, 221_2024-11-15_10-06-08, 221_2024-11-15_10-10-00, 221_2024-11-15_10-19-32, 221_2024-11-15_10-29-04, 221_2024-11-15_10-34-20, 221_2024-11-15_10-39-36, 221_2024-11-15_10-44-52, 221_2024-11-15_10-50-08, 221_2024-11-15_10-53-48, 221_2024-11-15_10-57-28, 221_2024-11-15_11-01-08, 221_2024-11-15_11-05-00	221			Vincent	2024-11-15 10:02:00	0.0						Measured	20.444767	49.005995
1040	104	221_2024-11-15_11-48-48, 221_2024-11-15_11-52-28, 221_2024-11-15_11-56-08, 221_2024-11-15_12-00-00, 221_2024-11-15_12-09-32, 221_2024-11-15_12-19-04, 221_2024-11-15_12-24-20, 221_2024-11-15_12-29-36, 221_2024-11-15_12-34-52, 221_2024-11-15_12-40-08, 221_2024-11-15_12-43-48	221			Vincent	2024-11-15 11:48:00	0.0						Measured	20.446114	49.005776
1050	105	051_2024-11-14_13-19-20, 051_2024-11-14_13-24-36, 051_2024-11-14_13-29-52, 051_2024-11-14_13-35-08, 051_2024-11-14_13-38-48, 051_2024-11-14_13-42-28, 051_2024-11-14_13-46-08, 051_2024-11-14_13-50-00, 051_2024-11-14_13-59-32, 051_2024-11-14_14-09-04, 051_2024-11-14_14-14-20, 051_2024-11-14_14-19-36, 051_2024-11-14_14-24-52, 051_2024-11-14_14-30-08, 051_2024-11-14_14-33-48, 051_2024-11-14_14-37-28, 051_2024-11-14_14-41-08, 051_2024-11-14_14-45-00	51			Adam	2024-11-14 13:19:00	0.0						Measured	20.447847	49.005481
1060	106	282_2024-11-14_11-01-08, 282_2024-11-14_11-05-00, 282_2024-11-14_11-14-32, 282_2024-11-14_11-24-04, 282_2024-11-14_11-29-20, 282_2024-11-14_11-34-36, 282_2024-11-14_11-39-52, 282_2024-11-14_11-45-08, 282_2024-11-14_11-48-48, 282_2024-11-14_11-52-28	282			Adam	2024-11-14 11:01:00	0.0						Measured	20.449263	49.003932
1070	107	282_2024-11-14_09-39-20, 282_2024-11-14_09-44-36, 282_2024-11-14_09-49-52, 282_2024-11-14_09-55-08, 282_2024-11-14_09-58-48, 282_2024-11-14_10-02-28, 282_2024-11-14_10-06-08, 282_2024-11-14_10-10-00, 282_2024-11-14_10-19-32, 282_2024-11-14_10-29-04	282			Adam	2024-11-14 09:39:00	0.0						Measured	20.45069	49.002388
1080	108	282_2024-11-14_08-20-00, 282_2024-11-14_08-29-32, 282_2024-11-14_08-39-04, 282_2024-11-14_08-44-20, 282_2024-11-14_08-49-36, 282_2024-11-14_08-54-52, 282_2024-11-14_09-00-08, 282_2024-11-14_09-03-48, 282_2024-11-14_09-07-28, 282_2024-11-14_09-11-08	282			Adam	2024-11-14 07:44:00	0.0						Measured	20.451382	49.001617
1090	109	282_2024-11-14_06-59-36, 282_2024-11-14_07-04-52, 282_2024-11-14_07-10-08, 282_2024-11-14_07-13-48, 282_2024-11-14_07-17-28, 282_2024-11-14_07-21-08, 282_2024-11-14_07-25-00, 282_2024-11-14_07-34-32, 282_2024-11-14_07-44-04, 282_2024-11-14_07-49-20	282			Adam	2024-11-14 06:59:00	0.0						Measured	20.452809	49.000086
1100	110	282_2024-11-13_13-19-20, 282_2024-11-13_13-24-36, 282_2024-11-13_13-29-52, 282_2024-11-13_13-35-08, 282_2024-11-13_13-38-48, 282_2024-11-13_13-42-28, 282_2024-11-13_13-46-08, 282_2024-11-13_13-50-00, 282_2024-11-13_13-59-32, 282_2024-11-13_14-09-04	282			Adam								Measured	20.454209	48.998534
