ID_rec	ID_site	ID_xml	rec_fl_adu	rec_fl_ex_n	rec_fl_ex_s	rec_fl_ey_e	rec_fl_ey_w	rec_fl_joblist	rec_fl_note	rec_fl_operator	rec_fl_rec_start	rec_fl_remote_reference	rec_qc_date	rec_qc_exception	rec_qc_note	rec_qc_nsp	rec_qc_qcby	rec_qc_status	rec_x	rec_xml_num_of_jobs	rec_y
6050	605											0.0						Cancelled	-17.87067448		28.49392815
6060	606											0.0						Cancelled	-17.87134444		28.500925
7040	704	282_2025-03-04_10-38-55, 282_2025-03-04_10-41-55, 282_2025-03-04_13-00-00, 282_2025-03-04_13-06-00, 282_2025-03-04_13-17-00, 282_2025-03-04_13-44-00	282	50.0	50.0	50.0	43.0	LaPalma_ADU7		Vincent	2025-03-04 13:00:00+00:00	0.0	2025-03-05				Vincent	Accepted	-17.86085555	6.0	28.48403889
7050	705	221_2025-03-05_12-04-23, 221_2025-03-05_12-12-23, 221_2025-03-05_13-00-00, 221_2025-03-05_13-06-00, 221_2025-03-05_13-17-00, 221_2025-03-05_13-44-00	221	50.0	45.0	25.0	30.0	LaPalma_ADU7	agriculture land, slope in Ey, Ey in the middle of 2 roads	Vincent		0.0						Rejected	-17.86159721	6.0	28.4917472
7060	706	025_2025-03-05_10-37-25, 025_2025-03-05_10-40-25, 025_2025-03-05_13-00-00, 025_2025-03-05_13-06-00, 025_2025-03-05_13-17-00, 025_2025-03-05_13-44-00, 025_2025-03-06_13-00-00, 025_2025-03-06_13-06-00, 025_2025-03-06_13-17-00, 025_2025-03-06_13-44-00	025	50.0	50.0	50.0	30.0	LaPalma_ADU8	agriculture land	Vincent	2025-03-05 13:00:00+00:00	0.0						Rejected	-17.86138333	10.0	28.49980278
7070	707	282_2025-03-13_10-14-04, 282_2025-03-13_10-17-04, 282_2025-03-13_13-00-00, 282_2025-03-13_13-06-00, 282_2025-03-13_13-17-00, 282_2025-03-13_13-44-00	282	38.0	34.0	29.0	43.0	LaPalma_ADU7	main road 50m, metal fence 75m, in a crater	Adam		0.0						Pending	-17.86811667	6.0	28.51119167
8030	803	051_2025-03-04_13-00-00, 051_2025-03-04_13-06-00, 051_2025-03-04_13-17-00, 051_2025-03-04_13-44-00	051	50.0	50.0	50.0	50.0	LaPalma_ADU7	volcano, basalt, pebbly, very dry	Vincent	2025-03-04 13:00:00+00:00	0.0	2025-03-05				Vincent	Accepted	-17.85384722	4.0	28.47523056
8040	804	025_2025-03-07_13-51-00, 025_2025-03-08_13-46-38	025	50.0	50.0	50.0		LaPalma_ADU8		Vincent		0.0						Pending	-17.84598612	2.0	28.48619724
8050	805	221_2025-03-07_10-27-11, 221_2025-03-07_10-35-11, 221_2025-03-07_13-00-00, 221_2025-03-07_13-06-00, 221_2025-03-07_13-17-00, 221_2025-03-07_13-44-00	221	50.0	50.0	50.0		LaPalma_ADU7		Vincent		0.0						Pending	-17.85021944	6.0	28.4925
9040	904	051_2025-03-06_10-28-15, 051_2025-03-06_10-36-15, 051_2025-03-06_13-00-00, 051_2025-03-06_13-06-00, 051_2025-03-06_13-17-00, 051_2025-03-06_13-44-00	051	50.0	50.0	50.0		LaPalma_ADU7		Vincent		0.0						Pending	-17.84105279	6.0	28.48161112
9050	905	051_2025-03-13_12-03-45, 051_2025-03-13_12-11-45, 051_2025-03-13_13-00-00, 051_2025-03-13_13-06-00, 051_2025-03-13_13-17-00, 051_2025-03-13_13-44-00	051	38.0	37.0	40.0	44.0	LaPalma_ADU7	Urban area, garbage disposal area 50m	Adam		0.0						Pending	-17.84060278	6.0	28.49200835
9060	906	221_2025-03-03_12-33-38, 221_2025-03-03_12-36-38, 221_2025-03-03_13-00-00, 221_2025-03-03_13-06-00, 221_2025-03-03_13-17-00, 221_2025-03-03_13-44-00	221	50.0	50.0	50.0	50.0	LaPalma_ADU7	slope in E	Vincent	2025-03-03 13:00:00+00:00	0.0	2025-03-04				Vincent	Rejected	-17.84239445	6.0	28.50096111
9070	907	025_2025-03-03_11-06-44, 025_2025-03-03_11-09-44, 025_2025-03-03_13-00-00, 025_2025-03-03_13-06-00, 025_2025-03-03_13-17-00, 025_2025-03-03_13-44-00	025	50.0	50.0	50.0	50.0	LaPalma_ADU8		Vincent	2025-03-03 13:00:00+00:00	0.0	2025-03-04		scattered 200-2000 Hz		Vincent	Accepted	-17.84136666	6.0	28.50941667
9080	908	025_2025-02-28_11-42-44, 025_2025-02-28_13-00-00, 025_2025-02-28_13-06-00, 025_2025-02-28_13-17-00, 025_2025-03-01_14-18-29, 025_2025-03-01_14-24-29, 025_2025-03-01_14-35-29, 025_2025-03-01_15-02-29	025	50.0	50.0	50.0	50.0	LaPalma_ADU8	volcanic dust, meas. Of 256 Hz didn’t start corretly, restarted 1/3/2025 at 14:15	Vincent	2025-02-28 13:00:00+00:00	0.0	2025-03-03		42 hours of meas.		Vincent	Accepted	-17.84130556	8.0	28.51836388
9190	919																	Projected	-17.8410916515209		28.6150610976699
10050	1005	051_2025-03-11_11-09-40, 051_2025-03-11_11-17-40, 051_2025-03-11_13-00-00, 051_2025-03-11_13-06-00, 051_2025-03-11_13-17-00, 051_2025-03-11_13-44-00	051	50.0	50.0	50.0		LaPalma_ADU7	road 50m, house +metal fence 50m, powerline 250m	Adam	2025-03-11 11:11:00+00:00	0.0						Pending	-17.83094444	6.0	28.49223333
10060	1006	282_2025-03-08_11-17-24, 282_2025-03-08_11-25-24, 282_2025-03-08_13-00-00, 282_2025-03-08_13-06-00, 282_2025-03-08_13-17-00, 282_2025-03-08_13-44-00	282	50.0	50.0	50.0		LaPalma_ADU7		Vincent		0.0						Pending	-17.83145	6.0	28.50158055
10070	1007	051_2025-03-01_09-59-12, 051_2025-03-01_10-02-12	051	50.0	50.0	50.0	50.0	LaPalma_ADU7	volcanic dust	Vincent	2025-03-01 13:00:00+00:00	0.0	2025-03-03		noisy		Vincent	Rejected	-17.83018889	2.0	28.50875278
10080	1008	282_2025-03-01_11-37-16, 282_2025-03-01_11-40-16, 282_2025-03-01_13-00-00, 282_2025-03-01_13-06-00, 282_2025-03-01_13-17-00, 282_2025-03-01_13-44-00	282	50.0	50.0	50.0	50.0	LaPalma_ADU7	slope in Ey	Vincent	2025-03-01 13:00:00+00:00	0.0	2025-03-03				Vincent	Accepted	-17.83141944	6.0	28.51698056
10180	1018																	Projected	-17.8326860980004		28.6091444429679
10190	1019																	Projected	-17.8337722246369		28.614988892075
11050	1105	077_2025-03-10_12-29-15, 077_2025-03-10_12-32-15, 077_2025-03-10_13-00-00, 077_2025-03-10_13-06-00, 077_2025-03-10_13-17-00, 077_2025-03-10_13-44-00	077	50.0	50.0	50.0	48.0	LaPalma_ADU8		Vincent		0.0						Pending	-17.82429999	6.0	28.49318611
11060	1106	221_2025-03-10_10-20-05, 221_2025-03-10_10-28-05, 221_2025-03-10_13-00-00, 221_2025-03-10_13-06-00, 221_2025-03-10_13-17-00, 221_2025-03-10_13-44-00	221	50.0	50.0	50.0	50.0	LaPalma_ADU7		Vincent		0.0						Pending	-17.82204446	6.0	28.501375
11070	1107	051_2025-03-08_13-27-05, 051_2025-03-08_13-44-00, 051_2025-03-09_13-00-00, 051_2025-03-09_13-06-00, 051_2025-03-09_13-17-00, 051_2025-03-09_13-44-00	051	50.0	50.0	50.0	50.0	LaPalma_ADU7		Vincent		0.0						Rejected	-17.82239445	6.0	28.51060277
