	ID_rec	ID_site	ID_xml	rec_fl_joblist	rec_fl_remote_reference	rec_qc_exception	rec_qc_nsp	rec_x	rec_y	rec_fl_rec_start	rec_fl_adu	rec_fl_note	rec_fl_ex_n	rec_fl_ex_s	rec_fl_ey_e	rec_fl_ey_w	rec_qc_date	rec_qc_status	rec_qc_qcby	rec_qc_note	rec_fl_operator
0	6050	605						-17.8706744758682	28.4939281490285		nan										
1	6060	606						-17.8713444444444	28.500925		nan										
2	7040	704						-17.8608555546312	28.4840388916711	2025-03-04 13:00:00	282		50.0	50.0	50.0	43.0	2025-03-05	ok	Vincent		Vincent
3	7050	705						-17.8615972084492	28.4917471977439	2025-03-05 13:00:00	221	agriculture land, slope in Ey, Ey in the middle of 2 roads	50.0	45.0	25.0	30.0					Vincent
4	7060	706						-17.8613833334009	28.4998027799797	2025-03-05 13:00:00	025	agriculture land	30.0	30.0	50.0	30.0					Vincent
5	7070	707						-17.8681166701092	28.5111916669359		nan										
6	8030	803						-17.853847218537	28.4752305559104	2025-03-04 13:00:00	051	volcano, basalt, pebbly, very dry	50.0	50.0	50.0	50.0	2025-03-05	ok	Vincent		Vincent
7	8040	804						-17.845986115484	28.4861972394444		nan										
8	8050	805						-17.8502194405837	28.4924999992576		nan										
9	8060	806			0.0			-17.8501555443207	28.5022555551199	2025-02-27 13:00:00	282	East 30 m dipole due to terrain obstacle	50.0	50.0	30.0	50.0	2025-02-28	ok	Vincent		Vincent
10	8070	807			0.0			-17.8518888812231	28.5105722248713	2025-02-27 13:00:00	051	slope in E-W	48.0	28.0	50.0	30.0	2025-02-28	ok	Vincent		Vincent
11	8080	808						-17.8499055517542	28.5201333355653	2025-02-28 13:00:00	221		50.0	50.0	50.0	50.0	2025-03-01	noisy	Vincent	Hx lot of spikes, data gap 200-5000Hz	Vincent
12	8190	819						-17.8498833386469	28.6162861186063		nan										
13	9030	903						-17.8402749959137	28.4741833208824		nan										
14	9040	904						-17.8410527894095	28.481611115827		nan										
15	9050	905						-17.8406027766859	28.49200834705		nan										
16	9060	906						-17.842394445776	28.5009611122864	2025-03-03 13:00:00	221	slope in E	50.0	50.0	50.0	50.0	2025-03-04	ok	Vincent		Vincent
17	9070	907						-17.8413666642189	28.5094166683218	2025-03-03 13:00:00	025		50.0	50.0	50.0	50.0	2025-03-04	ok	Vincent	scattered 200-2000 Hz	Vincent
18	9080	908						-17.8413055564154	28.5183638849643	2025-02-28 13:00:00	025	volcanic dust, meas. Of 256 Hz didn’t start corretly, restarted 1/3/2025 at 14:15	50.0	50.0	50.0	50.0	2025-03-03	ok	Vincent	42 hours of meas.	Vincent
19	9190	919						-17.8410916515209	28.6150610976699		nan										
20	10050	1005						-17.8309444436612	28.4922333315391		nan										
21	10060	1006						-17.8314499955352	28.5015805498735		nan										
22	10070	1007						-17.8301888944989	28.5087527811386	2025-03-01 13:00:00	051	volcanic dust	50.0	50.0	50.0	50.0	2025-03-03	noisy	Vincent		Vincent
23	10080	1008						-17.8314194419321	28.5169805554685	2025-03-01 13:00:00	282	slope in Ey	50.0	50.0	50.0	50.0	2025-03-03	ok	Vincent		Vincent
24	10180	1018						-17.8326860980004	28.6091444429679		nan										
25	10190	1019						-17.8337722246369	28.614988892075		nan										
26	11050	1105						-17.824299988619	28.493186113537		nan										
27	11060	1106						-17.8220444645724	28.501374996495		nan										
28	11070	1107						-17.8223944544255	28.5106027692571		nan										
