ID_rec	ID_site	ID_xml	rec_fl_adu	rec_fl_ex_n	rec_fl_ex_s	rec_fl_ey_e	rec_fl_ey_w	rec_fl_joblist	rec_fl_note	rec_fl_operator	rec_fl_rec_start	rec_fl_remote_reference	rec_qc_date	rec_qc_exception	rec_qc_note	rec_qc_nsp	rec_qc_qcby	rec_qc_status	rec_x	rec_y
6050	605											0						Cancelled	-17.87067448	28.49392815
6060	606											0						Cancelled	-17.87134444	28.500925
7040	704	282_2025-03-04_10-38-55, 282_2025-03-04_10-41-55, 282_2025-03-04_13-00-00, 282_2025-03-04_13-06-00, 282_2025-03-04_13-17-00, 282_2025-03-04_13-44-00	282	50	50	50	43	LaPalma_ADU7		Vincent	3/4/2025 13:00	0	3/5/2025				Vincent	Accepted	-17.86085555	28.48403889
7050	705	221_2025-03-05_12-04-23, 221_2025-03-05_12-12-23, 221_2025-03-05_13-00-00, 221_2025-03-05_13-06-00, 221_2025-03-05_13-17-00, 221_2025-03-05_13-44-00	221	50	45	25	30	LaPalma_ADU7	agriculture land, slope in Ey, Ey in the middle of 2 roads	Vincent		0						Pending	-17.86159721	28.4917472
7060	706	025_2025-03-05_10-37-25, 025_2025-03-05_10-40-25, 025_2025-03-05_13-00-00, 025_2025-03-05_13-06-00, 025_2025-03-05_13-17-00, 025_2025-03-05_13-44-00, 025_2025-03-06_13-00-00, 025_2025-03-06_13-06-00, 025_2025-03-06_13-17-00, 025_2025-03-06_13-44-00	25	50	50	50	30	LaPalma_ADU8	agriculture land	Vincent	3/5/2025 13:00	0						Pending	-17.86138333	28.49980278
7070	707	282_2025-03-13_10-14-04, 282_2025-03-13_10-17-04, 282_2025-03-13_13-00-00, 282_2025-03-13_13-06-00, 282_2025-03-13_13-17-00, 282_2025-03-13_13-44-00	282	38	34	29	43	LaPalma_ADU7	main road 50m, metal fence 75m, in a crater	Adam		0						Recording	-17.86811667	28.51119167
8030	803	051_2025-03-04_13-00-00, 051_2025-03-04_13-06-00, 051_2025-03-04_13-17-00, 051_2025-03-04_13-44-00	51	50	50	50	50	LaPalma_ADU7	volcano, basalt, pebbly, very dry	Vincent	3/4/2025 13:00	0	3/5/2025				Vincent	Accepted	-17.85384722	28.47523056
8040	804	025_2025-03-07_13-51-00, 025_2025-03-08_13-46-38	25	50	50	50		LaPalma_ADU8		Vincent	NaT	0						Pending	-17.84598612	28.48619724
8050	805	221_2025-03-07_10-27-11, 221_2025-03-07_10-35-11, 221_2025-03-07_13-00-00, 221_2025-03-07_13-06-00, 221_2025-03-07_13-17-00, 221_2025-03-07_13-44-00	221	50	50	50		LaPalma_ADU7		Vincent	NaT	0						Pending	-17.85021944	28.4925
8060	806	282_2025-02-27_10-07-37, 282_2025-02-27_10-10-37, 282_2025-02-27_13-00-00, 282_2025-02-27_13-06-00, 282_2025-02-27_13-17-00, 282_2025-02-27_13-44-00	282	50	50	50	50	LaPalma_ADU7	East 30 m dipole due to terrain obstacle	Vincent	2/27/2025 13:00	0	2/28/2025				Vincent	Accepted	-17.85015554	28.50225556
8070	807	051_2025-02-27_12-20-15, 051_2025-02-27_12-23-15, 051_2025-02-27_13-00-00, 051_2025-02-27_13-06-00, 051_2025-02-27_13-17-00, 051_2025-02-27_13-44-00	51	50	50	50	30	LaPalma_ADU7	slope in E-W	Vincent	2/27/2025 13:00	0	2/28/2025				Vincent	Accepted	-17.85188888	28.51057222
8080	808	221_2025-02-28_10-24-35, 221_2025-02-28_10-27-35, 221_2025-02-28_13-00-00, 221_2025-02-28_13-06-00, 221_2025-02-28_13-17-00, 221_2025-02-28_13-44-00	221	50	50	50	50	LaPalma_ADU7		Vincent	2/28/2025 13:00	0	3/1/2025		Hx lot of spikes, data gap 200-5000Hz		Vincent	Rejected	-17.84990555	28.52013334
8190	819										NaT							Projected	-17.84988334	28.61628612
9030	903	282_2025-03-06_11-57-19, 282_2025-03-06_12-05-19, 282_2025-03-06_13-00-00, 282_2025-03-06_13-06-00, 282_2025-03-06_13-17-00, 282_2025-03-06_13-44-00	282	50	50	50		LaPalma_ADU7		Vincent	NaT	0						Pending	-17.840275	28.47418332
9040	904	051_2025-03-06_10-28-15, 051_2025-03-06_10-36-15, 051_2025-03-06_13-00-00, 051_2025-03-06_13-06-00, 051_2025-03-06_13-17-00, 051_2025-03-06_13-44-00	51	50	50	50		LaPalma_ADU7		Vincent	NaT	0						Pending	-17.84105279	28.48161112
9050	905	051_2025-03-13_12-03-45, 051_2025-03-13_12-11-45, 051_2025-03-13_13-00-00, 051_2025-03-13_13-06-00, 051_2025-03-13_13-17-00, 051_2025-03-13_13-44-00	51	38	37	40	44	LaPalma_ADU7	Urban area, garbage disposal area 50m	Adam		0						Recording	-17.84060278	28.49200835
9060	906	221_2025-03-03_12-33-38, 221_2025-03-03_12-36-38, 221_2025-03-03_13-00-00, 221_2025-03-03_13-06-00, 221_2025-03-03_13-17-00, 221_2025-03-03_13-44-00	221	50	50	50	50	LaPalma_ADU7	slope in E	Vincent	3/3/2025 13:00	0	3/4/2025				Vincent	Accepted	-17.84239445	28.50096111
9070	907	025_2025-03-03_11-06-44, 025_2025-03-03_11-09-44, 025_2025-03-03_13-00-00, 025_2025-03-03_13-06-00, 025_2025-03-03_13-17-00, 025_2025-03-03_13-44-00	25	50	50	50	50	LaPalma_ADU8		Vincent	3/3/2025 13:00	0	3/4/2025		scattered 200-2000 Hz		Vincent	Accepted	-17.84136666	28.50941667
9080	908	025_2025-02-28_11-39-44, 025_2025-02-28_11-42-44, 025_2025-02-28_13-00-00, 025_2025-02-28_13-06-00, 025_2025-02-28_13-17-00, 025_2025-03-01_14-18-29, 025_2025-03-01_14-24-29, 025_2025-03-01_14-35-29, 025_2025-03-01_15-02-29	25	50	50	50	50	LaPalma_ADU8	volcanic dust, meas. Of 256 Hz didn’t start corretly, restarted 1/3/2025 at 14:15	Vincent	2/28/2025 13:00	0	3/3/2025		42 hours of meas.		Vincent	Accepted	-17.84130556	28.51836388
9190	919										NaT							Projected	-17.84109165	28.6150611
10050	1005	051_2025-03-11_11-09-40, 051_2025-03-11_11-17-40, 051_2025-03-11_13-00-00, 051_2025-03-11_13-06-00, 051_2025-03-11_13-17-00, 051_2025-03-11_13-44-00	51	50	50	50		LaPalma_ADU7	road 50m, house +metal fence 50m, powerline 250m	Adam	3/11/2025 11:11	0						Pending	-17.83094444	28.49223333
10060	1006	282_2025-03-08_11-17-24, 282_2025-03-08_11-25-24, 282_2025-03-08_13-00-00, 282_2025-03-08_13-06-00, 282_2025-03-08_13-17-00, 282_2025-03-08_13-44-00	282	50	50	50		LaPalma_ADU7		Vincent	NaT	0						Pending	-17.83145	28.50158055
10070	1007	051_2025-03-01_09-59-12, 051_2025-03-01_10-02-12	51	50	50	50	50	LaPalma_ADU7	volcanic dust	Vincent	3/1/2025 13:00	0	3/3/2025		noisy		Vincent	Pending	-17.83018889	28.50875278
10080	1008	282_2025-03-01_11-37-16, 282_2025-03-01_11-40-16, 282_2025-03-01_13-00-00, 282_2025-03-01_13-06-00, 282_2025-03-01_13-17-00, 282_2025-03-01_13-44-00	282	50	50	50	50	LaPalma_ADU7	slope in Ey	Vincent	3/1/2025 13:00	0	3/3/2025				Vincent	Accepted	-17.83141944	28.51698056
10180	1018										NaT							Projected	-17.8326861	28.60914444
10190	1019										NaT							Projected	-17.83377222	28.61498889
11050	1105	077_2025-03-10_12-29-15, 077_2025-03-10_12-32-15, 077_2025-03-10_13-00-00, 077_2025-03-10_13-06-00, 077_2025-03-10_13-17-00, 077_2025-03-10_13-44-00	77	50	50	50	48	LaPalma_ADU8		Vincent		0						Pending	-17.82429999	28.49318611
11060	1106	221_2025-03-10_10-20-05, 221_2025-03-10_10-28-05, 221_2025-03-10_13-00-00, 221_2025-03-10_13-06-00, 221_2025-03-10_13-17-00, 221_2025-03-10_13-44-00	221	50	50	50	50	LaPalma_ADU7		Vincent		0						Pending	-17.82204446	28.501375
11070	1107	051_2025-03-08_13-27-05, 051_2025-03-08_13-44-00, 051_2025-03-09_13-00-00, 051_2025-03-09_13-06-00, 051_2025-03-09_13-17-00, 051_2025-03-09_13-44-00	51	50	50	50	50	LaPalma_ADU7		Vincent		0						Pending	-17.82239445	28.51060277
8220	822	221_2025-03-14_10-30-10, 221_2025-03-14_10-38-10, 221_2025-03-14_10-59-11, 221_2025-03-14_11-07-11	221	50	50	45	50	LaPalma_ADU7	house 100m, fence 50m, old rock field overgrown with forest very noisy LF data	Adam		0						Recording	-17.85039444	28.64588889
9210	921										NaT							Projected	-17.84451112	28.63708337
9220	922	077_2025-03-14_12-16-49, 077_2025-03-14_12-19-49	77	44	40	43	46	LaPalma_ADU8	Rock field, high ground res.	Adam		0						Recording	-17.84196667	28.64504166
10030	1003	221_2025-03-12_10-01-59, 221_2025-03-12_10-09-59, 221_2025-03-12_13-00-00, 221_2025-03-12_13-06-00, 221_2025-03-12_13-17-00, 221_2025-03-12_13-44-00	221		52			LaPalma_ADU7		Adam	3/12/2025 10:05	0						Measured	-17.8315223	28.47439742
10040	1004	282_2025-03-11_12-50-20, 282_2025-03-11_12-53-20, 282_2025-03-11_13-00-00, 282_2025-03-11_13-06-00, 282_2025-03-11_13-17-00, 282_2025-03-11_13-44-00	282	50	48	45	50	LaPalma_ADU7	road 100m , Ex+Ey slope	Adam	3/11/2025 12:55	0						Pending	-17.831501	28.484365
10200	1020										NaT							Projected	-17.83538889	28.62919722
10210	1021										NaT							Projected	-17.83199442	28.63516942
10220	1022										NaT							Projected	-17.83250833	28.64330555
