name_orig	name_new
ID_rec	ID_rec
ID_site	ID_site
ID_xml	ID_xml
xml_adu	adu
rec_fl_joblist	joblist
rec_fl_note	note_field
rec_fl_operator	operator
rec_fl_rec_start	rec_ start_field_log
rec_fl_remote_reference	
rec_qc_date	qc_date
rec_qc_exception
rec_qc_note	qc_note
rec_qc_nsp	
rec_qc_qcby	qc_qcby
rec_qc_status	qc_status
xml_rec_start	rec_start
xml_rec_end	rec_end
xml_rec_duration_str	rec_duration
rec_x	x_site
rec_y	y_site
xml_x	x_xml
xml_y	y_xml
xml_gps_height	gps_height
xml_rec_duration	
xml_num_of_ch	num_of_ch
xml_num_of_jobs	num_of_jobs
xml_gps_num_sats	gps_num_sats
xml_gps_sync	gps_sync
xml_disk_space_free	disk_space_free
xml_disk_space_total	disk_space_total
xml_freq_base	freq_base
xml_freq_sample	freq_sample
xml_ch01_amplitude_max	selftest_ch01_amplitude_max
xml_ch01_ch_type	selftest_ch01_ch_type
xml_ch01_sensor_type	selftest_ch01_sensor_type
xml_ch01_ser_num	selftest_ch01_ser_num
xml_ch01_st_adb_error	selftest_ch01_st_adb_error
xml_ch01_st_dc_offset	selftest_ch01_st_dc_offset
xml_ch01_st_lsb_hf	selftest_ch01_st_lsb_hf
xml_ch01_st_lsb_lf	selftest_ch01_st_lsb_lf
xml_ch01_st_res	selftest_ch01_st_res
xml_ch01_st_resNE	selftest_ch01_st_resNE
xml_ch01_st_resSW	selftest_ch01_st_resSW
xml_ch01_st_severity	selftest_ch01_st_severity
xml_ch02_amplitude_max	selftest_ch02_amplitude_max
xml_ch02_ch_type	selftest_ch02_ch_type
xml_ch02_sensor_type	selftest_ch02_sensor_type
xml_ch02_ser_num	selftest_ch02_ser_num
xml_ch02_st_adb_error	selftest_ch02_st_adb_error
xml_ch02_st_dc_offset	selftest_ch02_st_dc_offset
xml_ch02_st_lsb_hf	selftest_ch02_st_lsb_hf
xml_ch02_st_lsb_lf	selftest_ch02_st_lsb_lf
xml_ch02_st_res	selftest_ch02_st_res
xml_ch02_st_resNE	selftest_ch02_st_resNE
xml_ch02_st_resSW	selftest_ch02_st_resSW
xml_ch02_st_severity	selftest_ch02_st_severity
xml_ch03_amplitude_max	selftest_ch03_amplitude_max
xml_ch03_ch_type	selftest_ch03_ch_type
xml_ch03_sensor_type	selftest_ch03_sensor_type
xml_ch03_ser_num	selftest_ch03_ser_num
xml_ch03_st_adb_error	selftest_ch03_st_adb_error
xml_ch03_st_dc_offset	selftest_ch03_st_dc_offset
xml_ch03_st_lsb_hf	selftest_ch03_st_lsb_hf
xml_ch03_st_lsb_lf	selftest_ch03_st_lsb_lf
xml_ch03_st_res	selftest_ch03_st_res
xml_ch03_st_resNE	selftest_ch03_st_resNE
xml_ch03_st_resSW	selftest_ch03_st_resSW
xml_ch03_st_severity	selftest_ch03_st_severity
xml_ch04_amplitude_max	selftest_ch04_amplitude_max
xml_ch04_ch_type	selftest_ch04_ch_type
xml_ch04_sensor_type	selftest_ch04_sensor_type
xml_ch04_ser_num	selftest_ch04_ser_num
xml_ch04_st_adb_error	selftest_ch04_st_adb_error
xml_ch04_st_dc_offset	selftest_ch04_st_dc_offset
xml_ch04_st_lsb_hf	selftest_ch04_st_lsb_hf
xml_ch04_st_lsb_lf	selftest_ch04_st_lsb_lf
xml_ch04_st_res	selftest_ch04_st_res
xml_ch04_st_resNE	selftest_ch04_st_resNE
xml_ch04_st_resSW	selftest_ch04_st_resSW
xml_ch04_st_severity	selftest_ch04_st_severity
xml_ch05_amplitude_max	selftest_ch05_amplitude_max
xml_ch05_ch_type	selftest_ch05_ch_type
xml_ch05_sensor_type	selftest_ch05_sensor_type
xml_ch05_ser_num	selftest_ch05_ser_num
xml_ch05_st_adb_error	selftest_ch05_st_adb_error
xml_ch05_st_dc_offset	selftest_ch05_st_dc_offset
xml_ch05_st_lsb_hf	selftest_ch05_st_lsb_hf
xml_ch05_st_lsb_lf	selftest_ch05_st_lsb_lf
xml_ch05_st_res	selftest_ch05_st_res
xml_ch05_st_resNE	selftest_ch05_st_resNE
xml_ch05_st_resSW	selftest_ch05_st_resSW
xml_ch05_st_severity	selftest_ch05_st_severity
xml_freq_cal	
xml_meas_mode	meas_mode
xml_meas_type	meas_type
geometry	
