field,dtype,orig_name,example,drop,groupby,round
ID_rec,float,,,0,,
ID_xml,str,,,0,list,
xml_adu,str,measurement.HwConfig.Device.Serial,25,0,first,
xml_ch01_amplitude_max,float,measurement.Selftest.AdbBoards.channel[1].MaxAmplitude,0.0419773,0,first,2
xml_ch01_ch_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[1].channel_type,Ex,0,first,
xml_ch01_filter_type,str,measurement.recording.input.Hardware.channel_config.channel[1].filter_type,LF_RF_2,1,first,
xml_ch01_sensor_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[1].sensor_type,EFP06,0,first,
xml_ch01_ser_num,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[1].sensor_sernum,0,0,first,
xml_ch01_st_adb_error,float,measurement.Selftest.AdbBoards.channel[1].AdbError,0,0,first,
xml_ch01_st_dc_offset,float,measurement.Selftest.AdbBoards.channel[1].DCOffset,-0.385724,0,first,2
xml_ch01_st_lsb_hf,float,measurement.Selftest.AdbBoards.channel[1].HF_LSB,1.19E-06,0,first,
xml_ch01_st_lsb_lf,float,measurement.Selftest.AdbBoards.channel[1].LF_LSB,5.97E-07,0,first,
xml_ch01_st_res,float,measurement.Selftest.AdbBoards.channel[1].Resistivity,0.0972665,0,first,1
xml_ch01_st_resNE,float,measurement.Selftest.AdbBoards.channel[1].Resistivity_connN_or_connE_connGND,0.0310695,0,first,1
xml_ch01_st_resSW,float,measurement.Selftest.AdbBoards.channel[1].Resistivity_connS_or_connW_connGND,0.0703101,0,first,1
xml_ch01_st_severity,str,measurement.Selftest.AdbBoards.channel[1].Severity,OK,0,first,
xml_ch02_amplitude_max,float,measurement.Selftest.AdbBoards.channel[2].MaxAmplitude,0.0436293,0,first,2
xml_ch02_ch_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[2].channel_type,Ey,0,first,
xml_ch02_filter_type,str,measurement.recording.input.Hardware.channel_config.channel[2].filter_type,LF_RF_2,1,first,
xml_ch02_sensor_type,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[2].sensor_type,EFP06,0,first,
xml_ch02_ser_num,str,measurement.recording.output.ProcessingTree.output.ATSWriter.configuration.channel[2].sensor_sernum,0,0,first,
xml_ch02_st_adb_error,float,measurement.Selftest.AdbBoards.channel[2].AdbError,0,0,first,
xml_ch02_st_dc_offset,float,measurement.Selftest.AdbBoards.channel[2].DCOffset,-0.0191146,0,first,2
xml_ch02_st_lsb_hf,float,measurement.Selftest.AdbBoards.channel[2].HF_LSB,1.19E-06,0,first,
xml_ch02_st_lsb_lf,float,measurement.Selftest.AdbBoards.channel[2].LF_LSB,5.97E-07,0,first,
xml_ch02_st_res,float,measurement.Selftest.AdbBoards.channel[2].Resistivity,1.04791,0,first,1
xml_ch02_st_resNE,float,measurement.Selftest.AdbBoards.channel[2].Resistivity_connN_or_connE_connGND,0.0221724,0,first,1
