Calibration measurement with Solartron
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig

  Magnetometer: 170    Date: 25/01/12    Time: 12:59:54

 FREQUENCY    MAGNITUDE      PHASE    
    Hz                     deg    
Chopper On
+4.0000E-01  +2.0026E-02  +8.9225E+01   
+5.5580E-01  +2.0017E-02  +8.8974E+01    
+7.7230E-01  +2.0014E-02  +8.8649E+01    
+1.0731E+00  +2.0009E-02  +8.8093E+01    
+1.4910E+00  +1.9993E-02  +8.7313E+01    
+2.0718E+00  +1.9957E-02  +8.6392E+01    
+2.8787E+00  +1.9938E-02  +8.5005E+01    
+4.0000E+00  +1.9869E-02  +8.3075E+01    
+5.5580E+00  +1.9796E-02  +8.0494E+01    
+7.7230E+00  +1.9479E-02  +7.6911E+01    
+1.0731E+01  +1.9049E-02  +7.2106E+01    
+1.4910E+01  +1.8243E-02  +6.5823E+01    
+2.0718E+01  +1.7006E-02  +5.7826E+01    
+2.8788E+01  +1.5127E-02  +4.9126E+01    
+4.0000E+01  +1.2805E-02  +3.9799E+01    
+5.5580E+01  +1.0183E-02  +3.0407E+01    
+7.7230E+01  +7.9308E-03  +2.3243E+01    
+1.0731E+02  +5.9378E-03  +1.6959E+01    
+1.4910E+02  +4.3704E-03  +1.2239E+01    
+2.0717E+02  +3.1828E-03  +8.4231E+00    
+2.8788E+02  +2.3016E-03  +5.6364E+00    
+4.0000E+02  +1.6629E-03  +3.4032E+00    
+5.5580E+02  +1.1998E-03  +1.5895E+00    
+7.7230E+02  +8.6670E-04  -2.2008E-02    
+1.0731E+03  +6.2541E-04  -1.8755E+00    
+1.4911E+03  +4.5203E-04  -3.9701E+00    
+2.0718E+03  +3.2627E-04  -6.4967E+00    
+2.8788E+03  +2.3631E-04  -1.0260E+01    
+4.0000E+03  +1.7073E-04  -1.5199E+01    
+5.5580E+03  +1.2321E-04  -2.2270E+01    
+7.7230E+03  +8.7384E-05  -3.2265E+01    
+1.0731E+04  +6.0545E-05  -4.5644E+01    
+1.4910E+04  +4.0236E-05  -6.3693E+01    
+2.0718E+04  +2.4274E-05  -8.5261E+01    
+2.8788E+04  +1.3696E-05  -1.0988E+02    
+4.0000E+04  +7.2004E-06  -1.3881E+02    
+5.5581E+04  +3.4274E-06  -1.7417E+02    
+6.0000E+04  +2.7895E-06  +1.7729E+02    
                                        
                                        
 FREQUENCY    MAGNITUDE      PHASE       
    Hz                     deg          
Chopper Off                             
+4.0000E-01  +1.0592E-02  +1.4796E+02   
+5.5580E-01  +1.3177E-02  +1.3912E+02    
+7.7230E-01  +1.5609E-02  +1.2963E+02    
+1.0731E+00  +1.7581E-02  +1.2033E+02    
+1.4910E+00  +1.8958E-02  +1.1183E+02    
+2.0718E+00  +1.9831E-02  +1.0460E+02    
+2.8787E+00  +2.0315E-02  +9.8313E+01    
+4.0000E+00  +2.0510E-02  +9.2646E+01    
+5.5580E+00  +2.0492E-02  +8.7199E+01    
+7.7230E+00  +2.0312E-02  +8.1490E+01    
+1.0731E+01  +1.9877E-02  +7.5049E+01    
+1.4910E+01  +1.8982E-02  +6.7321E+01    
+2.0718E+01  +1.7581E-02  +5.8778E+01    
+2.8788E+01  +1.5589E-02  +4.9097E+01    
+4.0000E+01  +1.3069E-02  +3.9296E+01    
+5.5580E+01  +1.0363E-02  +3.0122E+01    
+7.7230E+01  +7.9845E-03  +2.2614E+01    
+1.0731E+02  +5.9612E-03  +1.6491E+01    
+1.4910E+02  +4.3790E-03  +1.1904E+01    
+2.0717E+02  +3.1847E-03  +8.2868E+00    
+2.8788E+02  +2.3062E-03  +5.5909E+00    
+4.0000E+02  +1.6636E-03  +3.4324E+00    
+5.5580E+02  +1.2015E-03  +1.6229E+00    
+7.7230E+02  +8.6810E-04  +5.4018E-02    
+1.0731E+03  +6.2652E-04  -1.7328E+00    
+1.4911E+03  +4.5298E-04  -3.7737E+00    
+2.0718E+03  +3.2759E-04  -6.4089E+00    
+2.8788E+03  +2.3690E-04  -9.9202E+00    
+4.0000E+03  +1.7126E-04  -1.4724E+01    
+5.5580E+03  +1.2372E-04  -2.1602E+01    
+7.7230E+03  +8.7991E-05  -3.1339E+01    
+1.0731E+04  +6.1250E-05  -4.4454E+01    
+1.4910E+04  +4.1037E-05  -6.2290E+01    
+2.0718E+04  +2.5006E-05  -8.3846E+01    
+2.8788E+04  +1.4246E-05  -1.0872E+02    
+4.0000E+04  +7.5420E-06  -1.3807E+02    
+5.5581E+04  +3.6010E-06  -1.7405E+02    
+6.0000E+04  +2.9294E-06  +1.7727E+02    
