Calibration measurement with NumetriQ PSM 3750 - 0.1.100000.1.39 
Metronix GmbH, Kocherstr. 3, 38120 Braunschweig
                                               
Magnetometer: MFS07e#597    Date: 19/12/05    Time: 10:35:16
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper On
+4.0000E-01  +1.9965E-02  +8.9238E+01   
+5.5579E-01  +1.9895E-02  +8.8980E+01   
+7.7227E-01  +1.9989E-02  +8.8602E+01   
+1.0731E+00  +1.9928E-02  +8.8092E+01   
+1.4910E+00  +1.9852E-02  +8.7396E+01   
+2.0718E+00  +1.9853E-02  +8.6411E+01   
+2.8787E+00  +1.9826E-02  +8.5049E+01   
+4.0000E+00  +1.9782E-02  +8.3127E+01   
+5.5580E+00  +1.9616E-02  +8.0538E+01   
+7.7228E+00  +1.9380E-02  +7.6934E+01   
+1.0731E+01  +1.8936E-02  +7.2170E+01   
+1.4910E+01  +1.8163E-02  +6.5977E+01   
+2.0718E+01  +1.6911E-02  +5.8175E+01   
+2.8787E+01  +1.5071E-02  +4.9228E+01   
+4.0000E+01  +1.2763E-02  +3.9753E+01   
+5.5580E+01  +1.0238E-02  +3.0984E+01   
+7.7228E+01  +7.9113E-03  +2.3074E+01   
+1.0731E+02  +5.9236E-03  +1.6798E+01   
+1.4910E+02  +4.3656E-03  +1.1887E+01   
+2.0718E+02  +3.1687E-03  +8.1271E+00   
+2.8787E+02  +2.2923E-03  +5.2034E+00   
+4.0000E+02  +1.6533E-03  +2.8440E+00   
+5.5580E+02  +1.1907E-03  +8.5897E-01   
+7.7228E+02  +8.5704E-04  -1.0487E+00   
+1.0731E+03  +6.1650E-04  -3.0350E+00   
+1.4910E+03  +4.4320E-04  -5.3635E+00   
+2.0718E+03  +3.1676E-04  -8.3965E+00   
+2.8787E+03  +2.2802E-04  -1.2010E+01   
+4.0000E+03  +1.6280E-04  -1.7076E+01   
+5.5580E+03  +1.1557E-04  -2.4052E+01   
+7.7228E+03  +8.0390E-05  -3.3816E+01   
+1.0731E+04  +5.3887E-05  -4.6424E+01   
+1.4910E+04  +3.4123E-05  -6.1935E+01   
+2.0718E+04  +1.9839E-05  -7.7462E+01   
+2.8787E+04  +1.1897E-05  -9.3157E+01   
+4.0000E+04  +7.2814E-06  -1.1826E+02   
+5.5580E+04  +3.8446E-06  -1.5377E+02   
+7.7228E+04  +1.6625E-06  -1.8593E+02   
+1.0000E+05  +1.0369E-06  -2.0377E+02   
                                        
                                        
FREQUENCY    MAGNITUDE    PHASE         
Hz           V/(nT*Hz)    deg           
Chopper Off
+4.0000E-01  +1.0538E-02  +1.4859E+02   
+5.5579E-01  +1.3141E-02  +1.3969E+02   
+7.7227E-01  +1.5597E-02  +1.3009E+02   
+1.0731E+00  +1.7577E-02  +1.2065E+02   
+1.4910E+00  +1.8963E-02  +1.1211E+02   
+2.0718E+00  +1.9826E-02  +1.0471E+02   
+2.8787E+00  +2.0309E-02  +9.8359E+01   
+4.0000E+00  +2.0515E-02  +9.2646E+01   
+5.5580E+00  +2.0517E-02  +8.7178E+01   
+7.7228E+00  +2.0321E-02  +8.1406E+01   
+1.0731E+01  +1.9853E-02  +7.4957E+01   
+1.4910E+01  +1.8993E-02  +6.7364E+01   
+2.0718E+01  +1.7572E-02  +5.8587E+01   
+2.8787E+01  +1.5537E-02  +4.8939E+01   
+4.0000E+01  +1.3032E-02  +3.9138E+01   
+5.5580E+01  +1.0369E-02  +2.9897E+01   
+7.7228E+01  +7.9543E-03  +2.2408E+01   
+1.0731E+02  +5.9386E-03  +1.6289E+01   
+1.4910E+02  +4.3646E-03  +1.1451E+01   
+2.0718E+02  +3.1683E-03  +7.9400E+00   
+2.8787E+02  +2.2929E-03  +5.1135E+00   
+4.0000E+02  +1.6541E-03  +2.8482E+00   
+5.5580E+02  +1.1921E-03  +8.6035E-01   
+7.7228E+02  +8.5802E-04  -1.0065E+00   
+1.0731E+03  +6.1735E-04  -2.9776E+00   
+1.4910E+03  +4.4391E-04  -5.2761E+00   
+2.0718E+03  +3.1870E-04  -8.1332E+00   
+2.8787E+03  +2.2855E-04  -1.1861E+01   
+4.0000E+03  +1.6325E-04  -1.6899E+01   
+5.5580E+03  +1.1591E-04  -2.3791E+01   
+7.7228E+03  +8.0779E-05  -3.3443E+01   
+1.0731E+04  +5.4286E-05  -4.5975E+01   
+1.4910E+04  +3.4490E-05  -6.1513E+01   
+2.0718E+04  +2.0113E-05  -7.7145E+01   
+2.8787E+04  +1.2072E-05  -9.2992E+01   
+4.0000E+04  +7.3972E-06  -1.1818E+02   
+5.5580E+04  +3.9044E-06  -1.5393E+02   
+7.7228E+04  +1.6831E-06  -1.8623E+02   
+1.0000E+05  +1.0473E-06  -2.0411E+02   

